time,JDTDB,X,Y,Z,VX,VY,VZ
11404800,2453729.500000000,6.622577386951382E+07,1.991494827741952E+08,1.038457218855229E+07,-2.072153258671472E+01,1.322927308184107E+01,-1.832085681349644E-01
11491200,2453730.500000000,6.443193846363820E+07,2.002818657763180E+08,1.036818999720384E+07,-2.080196810467725E+01,1.298336630210448E+01,-1.959897784336260E-01
11577600,2453731.500000000,6.263127401920644E+07,2.013930208468720E+08,1.035070844177473E+07,-2.087961756393874E+01,1.273788920953267E+01,-2.086568596141509E-01
11664000,2453732.500000000,6.082401986157364E+07,2.024829859903536E+08,1.033213737009926E+07,-2.095451308961879E+01,1.249286204518988E+01,-2.212101137546467E-01
11750400,2453733.500000000,5.901041255430786E+07,2.035518009293981E+08,1.031248660313685E+07,-2.102668648685531E+01,1.224830434120216E+01,-2.336498608559330E-01
11836800,2453734.500000000,5.719068592694568E+07,2.045995070442150E+08,1.029176593345056E+07,-2.109616923812939E+01,1.200423493673643E+01,-2.459764381745284E-01
11923200,2453735.500000000,5.536507110300130E+07,2.056261473133787E+08,1.026998512374820E+07,-2.116299249789000E+01,1.176067200024222E+01,-2.581901990897650E-01
12009600,2453736.500000000,5.353379652869461E+07,2.066317662573930E+08,1.024715390556611E+07,-2.122718708708054E+01,1.151763305500707E+01,-2.702915118971472E-01
12096000,2453737.500000000,5.169708800164510E+07,2.076164098830235E+08,1.022328197797382E+07,-2.128878349505248E+01,1.127513498335832E+01,-2.822807598142685E-01
12182400,2453738.500000000,4.985516869963901E+07,2.085801256287121E+08,1.019837900631888E+07,-2.134781187485658E+01,1.103319405085909E+01,-2.941583398348038E-01
12268800,2453739.500000000,4.800825920992940E+07,2.095229623124421E+08,1.017245462109412E+07,-2.140430203971761E+01,1.079182592699399E+01,-3.059246617687545E-01
12355200,2453740.500000000,4.615657758638543E+07,2.104449700373624E+08,1.014551842407291E+07,-2.145828310680314E+01,1.055104505785303E+01,-3.175804817812979E-01
12441600,2453741.500000000,4.430033929869982E+07,2.113462002606570E+08,1.011757992956997E+07,-2.150978491506704E+01,1.031086725255506E+01,-3.291255642653397E-01
12528000,2453742.500000000,4.243975733662101E+07,2.122267056517099E+08,1.008864869338648E+07,-2.155883589377367E+01,1.007130585689143E+01,-3.405606881192749E-01
12614400,2453743.500000000,4.057504222074275E+07,2.130865400532191E+08,1.005873419639705E+07,-2.160546448281965E+01,9.832374322585807E+00,-3.518863076176428E-01
12700800,2453744.500000000,3.870640202935118E+07,2.139257584476894E+08,1.002784587980227E+07,-2.164969877706558E+01,9.594085584984935E+00,-3.631028867401276E-01
12787200,2453745.500000000,3.683404242829227E+07,2.147444169136078E+08,9.995993144325316E+06,-2.169156652427796E+01,9.356452084403820E+00,-3.742108982164769E-01
12873600,2453746.500000000,3.495816670166779E+07,2.155425725815342E+08,9.963185347494826E+06,-2.173109507026467E+01,9.119485568892294E+00,-3.852109821390459E-01
12960000,2453747.500000000,3.307897577854102E+07,2.163202835476684E+08,9.929431794323534E+06,-2.176831174961629E+01,8.883197099167187E+00,-3.961033673422514E-01
13046400,2453748.500000000,3.119666824339535E+07,2.170776089912312E+08,9.894741710013106E+06,-2.180324258218257E+01,8.647598355442710E+00,-4.068884515640705E-01
13132800,2453749.500000000,2.931144048196003E+07,2.178146088084492E+08,9.859124458843797E+06,-2.183591460747598E+01,8.412700179678069E+00,-4.175672309917213E-01
13219200,2453750.500000000,2.742348650943573E+07,2.185313440450420E+08,9.822589147867441E+06,-2.186635362708838E+01,8.178512505177954E+00,-4.281399213008767E-01
13305600,2453751.500000000,2.553299814601865E+07,2.192278765133710E+08,9.785144920968071E+06,-2.189458531496964E+01,7.945045096676857E+00,-4.386070379843643E-01
13392000,2453752.500000000,2.364016500817187E+07,2.199042688511137E+08,9.746800877204239E+06,-2.192063500697490E+01,7.712307304908324E+00,-4.489691027841141E-01
13478400,2453753.500000000,2.174517453822476E+07,2.205605844874750E+08,9.707566070337504E+06,-2.194452769427243E+01,7.480308105136457E+00,-4.592266423992246E-01
13564800,2453754.500000000,1.984821203410305E+07,2.211968876113663E+08,9.667449508418903E+06,-2.196628802672689E+01,7.249056103698909E+00,-4.693801884189734E-01
